Units Processed,Time (s)
145,1.5600002370774746e-05
146,1.4199991710484028e-05
147,1.4999997802078724e-05
148,1.5300000086426735e-05
149,1.6300007700920105e-05
150,1.5600002370774746e-05
151,1.5300000086426735e-05
152,1.2300006346777081e-05
153,1.550000160932541e-05
154,1.4899997040629387e-05
155,1.5300000086426735e-05
156,1.789999078027904e-05
157,1.5699974028393626e-05
158,1.0700023267418146e-05
159,1.0500021744519472e-05
160,9.90001717582345e-06
161,1.069999416358769e-05
162,1.0299991117790341e-05
163,1.0099989594891667e-05
164,1.0299991117790341e-05
165,1.0099989594891667e-05
166,1.2400007108226418e-05
167,1.1399999493733048e-05
168,1.0599993402138352e-05
169,1.0400020983070135e-05
170,1.0299991117790341e-05
171,6.500020390376449e-06
172,7.00005330145359e-07
173,1.0399991879239678e-05
174,9.99998883344233e-06
175,1.0299991117790341e-05
176,1.0199990356341004e-05
177,8.99998121894896e-06
178,1.0399991879239678e-05
179,9.499985026195645e-06
180,1.200000406242907e-05
181,1.6700010746717453e-05
182,1.1800002539530396e-05
183,1.750001683831215e-05
184,1.0399991879239678e-05
185,1.0400020983070135e-05
186,1.0100018698722124e-05
187,1.0599993402138352e-05
188,1.0099989594891667e-05
189,3.0999945010989904e-06
190,7.00005330145359e-07
191,1.0600022505968809e-05
192,9.600014891475439e-06
193,8.800008799880743e-06
194,1.0099989594891667e-05
195,1.0399991879239678e-05
196,9.99998883344233e-06
197,9.800016414374113e-06
198,1.0400020983070135e-05
199,1.0499992640689015e-05
200,1.0299991117790341e-05
201,9.899988071992993e-06
202,1.0399991879239678e-05
203,9.899988071992993e-06
204,1.0200019460171461e-05
205,9.600014891475439e-06
206,1.0300020221620798e-05
207,1.0299991117790341e-05
208,9.399984264746308e-06
209,1.0499992640689015e-05
210,9.69998654909432e-06
211,1.0199990356341004e-05
212,9.499985026195645e-06
213,1.0599993402138352e-05
214,1.0100018698722124e-05
215,1.069999416358769e-05
216,1.0200019460171461e-05
217,1.0600022505968809e-05
218,1.0100018698722124e-05
219,1.1900003300979733e-05
220,1.0599993402138352e-05
221,1.789999078027904e-05
222,1.1199997970834374e-05
223,1.8200022168457508e-05
224,1.2100004823878407e-05
225,9.90001717582345e-06
226,1.5700003132224083e-05
227,1.7499987734481692e-05
228,1.0799994925037026e-05
229,1.2100004823878407e-05
230,1.0199990356341004e-05
231,1.4899997040629387e-05
232,1.5699974028393626e-05
233,2.6900001103058457e-05
234,1.5700003132224083e-05
235,2.4300010409206152e-05
236,1.5099998563528061e-05
237,1.5300000086426735e-05
238,1.300001167692244e-05
239,1.700012944638729e-06
240,1.550000160932541e-05
241,1.580000389367342e-05
242,1.750001683831215e-05
243,1.5199999324977398e-05
244,1.5600002370774746e-05
245,1.5700003132224083e-05
246,1.5399971744045615e-05
247,1.4499993994832039e-05
248,1.5400000847876072e-05
249,2.2700027329847217e-05
250,1.610000617802143e-05
251,1.5400000847876072e-05
252,1.550000160932541e-05
253,1.5099998563528061e-05
254,1.5099998563528061e-05
255,1.3300013961270452e-05
256,1.3300013961270452e-05
257,1.2599979527294636e-05
258,1.5600002370774746e-05
259,1.4499993994832039e-05
260,1.4699995517730713e-05
261,1.4299992471933365e-05
262,1.4999997802078724e-05
263,1.3800017768517137e-05
264,1.6900012269616127e-05
265,3.369999467395246e-05
266,1.71000137925148e-05
267,1.819999306462705e-05
268,1.7700018361210823e-05
269,6.699992809444666e-06
270,1.100008375942707e-06
271,1.5199999324977398e-05
272,1.4899997040629387e-05
273,1.479999627918005e-05
274,1.4599994756281376e-05
275,1.3599987141788006e-05
276,1.4099990949034691e-05
277,2.1499989088624716e-05
278,1.4699995517730713e-05
279,1.379998866468668e-05
280,1.300001167692244e-05
281,1.309998333454132e-05
282,1.4399993233382702e-05
283,1.3900018529966474e-05
284,1.4099990949034691e-05
285,1.2500007869675756e-05
286,1.4299992471933365e-05
287,1.400001929141581e-05
288,1.3199984095990658e-05
289,1.3900018529966474e-05
290,5.0000089686363935e-06
291,1.00000761449337e-06
292,1.279998105019331e-05
293,1.2800010154023767e-05
294,1.4199991710484028e-05
295,1.3800017768517137e-05
296,1.3599987141788006e-05
297,1.650000922381878e-05
298,9.200011845678091e-06
299,9.90001717582345e-06
300,1.0399991879239678e-05
301,1.0599993402138352e-05
302,9.599985787644982e-06
303,9.099981980398297e-06
304,1.0499992640689015e-05
305,9.69998654909432e-06
306,1.0199990356341004e-05
307,1.0599993402138352e-05
308,1.0399991879239678e-05
309,9.90001717582345e-06
310,1.0299991117790341e-05
311,9.99998883344233e-06
312,9.899988071992993e-06
313,1.0300020221620798e-05
314,3.6999990697950125e-06
315,7.00005330145359e-07
316,1.0299991117790341e-05
317,1.750001683831215e-05
318,1.1399999493733048e-05
319,9.399984264746308e-06
320,1.0399991879239678e-05
321,1.0099989594891667e-05
322,9.599985787644982e-06
323,9.899988071992993e-06
324,9.899988071992993e-06
325,1.0399991879239678e-05
326,1.0200019460171461e-05
327,9.100011084228754e-06
328,1.0199990356341004e-05
329,1.0299991117790341e-05
330,1.0299991117790341e-05
331,1.0199990356341004e-05
332,1.0199990356341004e-05
333,9.600014891475439e-06
334,1.0199990356341004e-05
335,1.0400020983070135e-05
336,1.0299991117790341e-05
337,1.0299991117790341e-05
338,1.0399991879239678e-05
339,1.0199990356341004e-05
340,9.90001717582345e-06
341,1.0200019460171461e-05
342,1.0200019460171461e-05
343,1.0399991879239678e-05
344,1.0200019460171461e-05
345,1.0200019460171461e-05
346,1.0099989594891667e-05
347,1.0599993402138352e-05
348,1.0299991117790341e-05
349,1.0400020983070135e-05
350,9.500014130026102e-06
351,3.7999998312443495e-06
352,5.00003807246685e-07
353,1.0199990356341004e-05
354,1.0099989594891667e-05
355,9.500014130026102e-06
356,1.0000017937272787e-05
357,9.90001717582345e-06
358,9.200011845678091e-06
359,9.300012607127428e-06
360,9.000010322779417e-06
361,1.4899997040629387e-05
362,1.479999627918005e-05
363,1.379998866468668e-05
364,1.4800025383010507e-05
365,1.4600023860111833e-05
366,1.4099990949034691e-05
367,1.479999627918005e-05
368,1.5400000847876072e-05
369,1.5300000086426735e-05
370,1.4699995517730713e-05
371,1.4400022337213159e-05
372,1.4800025383010507e-05
373,1.479999627918005e-05
374,1.5199999324977398e-05
375,1.0199990356341004e-05
376,9.00006853044033e-07
377,1.5199999324977398e-05
378,1.5300000086426735e-05
379,1.550000160932541e-05
380,1.4399993233382702e-05
381,1.0799994925037026e-05
382,1.610000617802143e-05
383,1.4699995517730713e-05
384,1.0299991117790341e-05
385,1.0299991117790341e-05
386,1.0100018698722124e-05
387,7.700000423938036e-06
388,5.00003807246685e-07
389,1.0199990356341004e-05
390,1.0199990356341004e-05
391,8.90000956133008e-06
392,9.899988071992993e-06
393,9.99998883344233e-06
394,9.499985026195645e-06
395,1.0200019460171461e-05
396,2.929999027401209e-05
397,1.0499992640689015e-05
398,1.0899995686486363e-05
399,1.0400020983070135e-05
400,1.0299991117790341e-05
401,1.789999078027904e-05
402,1.610000617802143e-05
403,8.700008038431406e-06
404,9.600014891475439e-06
405,1.0099989594891667e-05
406,9.500014130026102e-06
407,1.0000017937272787e-05
408,9.700015652924776e-06
409,1.0000017937272787e-05
410,1.500011421740055e-06
411,7.00005330145359e-07
